route,count
150,90
158,303
159,306
166,69
183,60
102,135
148,12
906,69
914,183
164,135
168,270
913,156
180,129
566,18
916,171
157,234
169,132
153,75
164N,3
168N,3
169N,3
159N,3
567,3
952EN,6
914N,3
