OBJECTID,CHANGE_NUM,MINOR_CHAN,ACCESSIBIL,ACCESSORY_,STOP_ID,TRANS_LINK,STOP_STATU,STOP_TYPE,AUTH_CODE,AUTH_NAME,TRF_DISTRI,AWNING,BAY_CODE,BEARING_CO,BIKE_RACK,CURB,CURB_HEIGH,CURBPAINT,CURBPAINTL,CURRENT_NE,CF_CROSS_S,CF_DIST_FR,CF_INTERSE,DATE_CREAT,DATE_LAST_,DB_MOD_DAT,DISPLACEME,DIST_FROM_,EFFECTIVE_,FARE_ZONE,FRDOORLAND,FRDOORSIDE,HASTUS_CRO,IMT_CONNEC,IN_SERVICE,INFOSIGN_A,INFOSIGN,INTERSECTI,JURISDICTI,KCM_MANAGE,XCOORD,XCOORD_OFF,YCOORD,YCOORD_OFF,ZIPCODE,ROUTE_LIST,ON_STREET_,ROUTESIGN,ROUTESIGN_,SIGN_MOUNT,SIGNPOST,SIGNPOST_A,SCHEDULE_H,NUM_SHELTE,GISOBJID
"19711","141","2",YES,None,"80012","359920",ACT,REG,KNT,Kent,SE,NO,,E,NO,UNK,"0",Unknown,"10",CURRENT,49th Ave S,160.00000000000,FS,2011-08-02T13:05:00.000Z,2019-01-30T20:33:00.000Z,2019-04-08T00:00:00.000Z,615.00000000000,159.70000000000,2012-01-12T00:00:00.000Z,"24",Unknown,"96",49th Ave S,,N,None,None,Far side,KNT,YES,1283928.89999999991,"1283945",152553.10000000001,152533.79999999999,"98032","913",Riverview Blvd S,Single,KCM,Toward,Light,Band,None,"0","100001285"
"19712","141","2",YES,None,"80013","359921",ACT,RL,KNT,Kent,SE,NO,,S,NO,UNK,"0",Unknown,"10",CURRENT,S 212th St,259.00000000000,FS,2011-08-02T14:39:00.000Z,2019-01-30T20:33:00.000Z,2019-04-08T00:00:00.000Z,259.00000000000,259.00000000000,2011-10-01T00:00:00.000Z,"24",Unknown,"96",S 212th St,,N,None,None,Far side,KNT,YES,1284331.00000000000,"1284306",153435.00000000000,153433.79999999999,"98032","913",Riverview Blvd S,Single,KCM,Toward,2in metal,Base plate,None,"0","100000905"
"19713","141","2",YES,None,"80014","359921",ACT,RL,KNT,Kent,SE,NO,,N,NO,UNK,"0",Unknown,"10",CURRENT,S 212th St,237.00000000000,NS,2011-08-02T14:37:00.000Z,2019-01-30T20:33:00.000Z,2019-04-08T00:00:00.000Z,237.00000000000,237.00000000000,2011-10-01T00:00:00.000Z,"24",Unknown,"96",S 212th St,,N,None,None,Near side,KNT,YES,1284330.00000000000,"1284355",153457.00000000000,153458.29999999999,"98032","913",Riverview Blvd S,Single,KCM,Toward,2in metal,Base plate,None,"0","100000906"
"19714","141","2",YES,None,"80016","241204",ACT,REG,KNT,Kent,SE,NO,,N,NO,YES,"6",YelRed-Stop,"10",CURRENT,S 221st Pl,69.00000000000,NS,2009-07-23T08:24:00.000Z,2019-01-30T20:33:00.000Z,2019-04-08T00:00:00.000Z,69.10000000000,69.10000000000,2009-09-19T00:00:00.000Z,"24",Unknown,"72",S 221st Pl,,N,None,None,Near side,KNT,YES,1281959.69999999995,"1281980",150515.29999999999,150500.89999999999,"98032","913",Riverview Blvd S,Single,KCM,Toward,2in metal,Base plate,None,"0","100000536"
"20055","142","0",NO,None,"57010","154774",ACT,REG,KNT,Kent,SE,NO,,N,NO,UNK,"0",Unknown,"0",NEXT,Hemlock St,25.00000000000,NS,1960-01-01T04:30:00.000Z,2019-01-30T20:32:00.000Z,2019-04-04T00:00:00.000Z,25.00000000000,25.00000000000,2016-12-17T00:00:00.000Z,"24",Unknown,"0",Hemlock St,,N,None,None,Near side,KNT,YES,1297316.89999999991,"1297342",139592.79999999999,139592.50000000000,"98030","914",Reiten Rd,Single,KCM,Toward,2in metal,Cncrt-earth,None,"0","4934"
"20056","142","0",NO,None,"57020","77468",ACT,REG,KNT,Kent,SE,NO,,N,NO,UNK,"0",Unknown,"0",NEXT,Laurel St,115.00000000000,FS,1960-01-01T04:30:00.000Z,2019-01-30T20:32:00.000Z,2019-04-04T00:00:00.000Z,209.00000000000,115.00000000000,2016-12-17T00:00:00.000Z,"24",Unknown,"0",Laurel St,,N,None,None,Far side,KNT,YES,1297326.80000000005,"1297352",140037.50000000000,140036.89999999999,"98030","914",Reiten Rd,Single,KCM,Toward,2in metal,Cncrt-earth,None,"0","4935"
"20057","142","0",UNK,Unknown,"57030","36777",CLO,REG,UNK,Unknown,SE,UNK,,W,NO,UNK,"0",Unknown,"0",NEXT,Reiten Rd,447.70000000000,FS,1960-01-01T04:30:00.000Z,2019-01-30T20:32:00.000Z,2019-04-04T00:00:00.000Z,753.30000000000,447.70000000000,1997-09-19T00:00:00.000Z,"24",Unknown,"0",Reiten Rd,,N,UNK,Unknown,Far side,KNT,UNK,1296883.80000000005,"1296884",140256.10000000001,140281.10000000001,"98030",,E Chicago St,Unknown,UNK,,Unknown,Unknown,UNK,"0","100014405"
"20058","142","0",UNK,Unknown,"57040","53123",CLO,REG,UNK,Unknown,SE,UNK,,N,NO,UNK,"0",Unknown,"0",NEXT,E Seattle St,120.50000000000,NS,1960-01-01T04:30:00.000Z,2019-01-30T20:32:00.000Z,2019-04-04T00:00:00.000Z,120.50000000000,120.50000000000,1997-09-19T00:00:00.000Z,"24",Unknown,"0",E Seattle St,,N,UNK,Unknown,Near side,KNT,UNK,1295708.89999999991,"1295684",140444.00000000000,140444.29999999999,"98030",,Van de Vanter Ave,Unknown,UNK,,Unknown,Unknown,UNK,"0","100014404"
"20059","142","0",NO,None,"57050","98090",ACT,REG,KNT,Kent,SE,NO,,W,NO,UNK,"0",Unknown,"0",NEXT,Glenwood Ln,20.00000000000,NS,1960-01-01T04:30:00.000Z,2019-01-30T20:32:00.000Z,2019-04-04T00:00:00.000Z,115.00000000000,115.00000000000,2010-02-06T00:00:00.000Z,"24",Unknown,"0",Glenwood Ln,,N,None,None,Near side,KNT,YES,1295538.50000000000,"1295539",141052.89999999999,141077.89999999999,"98030","914",Guiberson St,Single,KCM,Toward,2in metal,Cncrt-earth,None,"0","4936"
"20060","142","0",YES,None,"57060","87231",ACT,REG,KNT,Kent,SE,NO,,N,NO,UNK,"0",Unknown,"10",NEXT,E Gowe St,60.00000000000,NS,1960-01-01T04:30:00.000Z,2019-01-30T20:32:00.000Z,2019-04-04T00:00:00.000Z,60.00000000000,60.00000000000,1960-01-01T00:00:00.000Z,"24",Unknown,"0",E Gowe St,,N,None,None,Near side,KNT,YES,1294863.30000000005,"1294888",142045.10000000001,142048.89999999999,"98030","914",Kennebeck Ave N,Single,KCM,Away,2in metal,Concrete,None,"0","4937"
"20061","142","0",YES,None,"57070","16822",ACT,REG,KNT,Kent,SE,NO,,E,NO,YES,"6",YelRed-Stop,"10",NEXT,Central Ave N,160.00000000000,FS,1981-03-15T04:30:00.000Z,2019-01-30T20:32:00.000Z,2019-04-04T00:00:00.000Z,160.00000000000,142.10000000000,1981-03-15T00:00:00.000Z,"24",Unknown,"0",Central Ave N,,N,None,None,Far side,KNT,YES,1294329.69999999995,"1294329",144179.79999999999,144154.79999999999,"98032",158 164 168,E James St,A2 <=6 rts,KCM,Away,2in metal,Base plate,Single,"1","4938"
"20062","142","0",UNK,Unknown,"57080","16648",CLO,REG,UNK,Unknown,SE,UNK,,E,NO,UNK,"0",Unknown,"0",NEXT,Woodford Ave N,52.60000000000,AT,1960-01-01T04:30:00.000Z,2019-01-30T20:32:00.000Z,2019-04-04T00:00:00.000Z,52.60000000000,52.60000000000,1991-04-05T00:00:00.000Z,"24",Unknown,"0",Woodford Ave N,,N,UNK,Unknown,At cross st,KNT,UNK,1294808.10000000009,"1294808",144164.79999999999,144139.79999999999,"98031",,E James St,Unknown,UNK,,Unknown,Unknown,UNK,"0","100014403"
"20063","142","0",YES,None,"57463","64183",ACT,REG,KNT,Kent,SE,NO,,N,NO,UNK,"0",Unknown,"10",NEXT,S 228th St,115.00000000000,FS,2003-02-03T04:30:00.000Z,2019-01-30T20:32:00.000Z,2019-04-04T00:00:00.000Z,115.00000000000,115.00000000000,2006-09-23T00:00:00.000Z,"24",Unknown,"0",S 228th St,,N,None,None,Far side,KNT,YES,1288403.50000000000,"1288429",148370.20000000001,148369.89999999999,"98032","180",64th Ave S,A1 <=2 rts,KCM,Toward,2in metal,Base plate,None,"0","5076"
"20064","142","0",YES,None,"57464","88771",ACT,REG,KNT,Kent,SE,NO,,N,NO,UNK,"0",Unknown,"10",NEXT,S 226th St,40.00000000000,FS,2003-02-03T04:30:00.000Z,2019-01-30T20:32:00.000Z,2019-04-04T00:00:00.000Z,40.00000000000,40.00000000000,2010-04-28T00:00:00.000Z,"24",Unknown,"0",S 226th St,,N,None,None,Far side,KNT,YES,1288423.19999999995,"1288448",149306.60000000001,149306.00000000000,"98032","180",64th Ave S,A1 <=2 rts,KCM,Toward,2in metal,Base plate,None,"0","5077"
"20065","142","0",YES,None,"57465","94058",ACT,REG,KNT,Kent,SE,NO,,N,NO,UNK,"0",YelRed-Stop,"10",NEXT,S 216th St,155.00000000000,NS,2003-02-03T04:30:00.000Z,2019-01-30T20:32:00.000Z,2019-04-04T00:00:00.000Z,155.00000000000,155.00000000000,2003-02-03T00:00:00.000Z,"24",Unknown,"0",S 216th St,,N,None,None,Near side,KNT,YES,1288473.69999999995,"1288499",152110.39999999999,152109.79999999999,"98032","180",64th Ave S,A1 <=2 rts,KCM,Away,2in metal,Base plate,None,"0","5078"
"20066","142","0",YES,None,"57466","37691",PLN,REG,PVT,Private Owner,SE,NO,,S,NO,YES,"6",None,"0",NEXT,S 208th St,444.60000000000,NM,2003-02-03T04:30:00.000Z,2019-01-30T20:32:00.000Z,2019-04-04T00:00:00.000Z,868.00000000000,444.60000000000,2009-07-28T00:00:00.000Z,"24",Unknown,"0",S 208th St,,N,None,None,Near middle,KNT,YES,1290197.69999999995,"1290223",155350.10000000001,155349.79999999999,"98032",,Center Point AcRd,Single,KCM,Toward,2in metal,Base plate,None,"0","100001506"
"20067","142","0",YES,None,"57467","37691",ACT,REG,PVT,Private Owner,SE,NO,,S,NO,YES,"6",YelRed-Stop,"0",NEXT,S 204th St,285.00000000000,FM,2003-02-03T04:30:00.000Z,2019-01-30T20:32:00.000Z,2019-04-04T00:00:00.000Z,285.00000000000,285.00000000000,2010-10-02T00:00:00.000Z,"24",Unknown,"0",S 204th St,,N,None,None,Far middle,KNT,YES,1290330.00000000000,"1290305",155895.10000000001,155895.70000000001,"98032","913",Center Point AcRd,Single,KCM,Toward,2in metal,Base plate,None,"0","5079"
"20068","142","0",LTD,None,"57468","33519",ACT,REG,PVT,Private Owner,SE,NO,,E,NO,YES,"1",YelRed-Stop,"0",NEXT,68th Ave S,755.00000000000,FM,2003-02-03T04:30:00.000Z,2019-01-30T20:32:00.000Z,2019-04-04T00:00:00.000Z,166.20000000000,166.20000000000,2005-03-17T00:00:00.000Z,"24",Unknown,"0",68th Ave S,,N,None,None,Far middle,KNT,YES,1290525.50000000000,"1290508",154774.70000000001,154757.29999999999,"98032","913",Center Point AcRd,Single,KCM,Toward,2in metal,Cncrt-earth,None,"0","5080"
"20069","142","0",UNK,Unknown,"57550","82138",CLO,REG,UNK,Unknown,SE,UNK,,W,NO,UNK,"0",Unknown,"0",NEXT,E Lake Ave,168.50000000000,NS,1960-01-01T04:30:00.000Z,2019-01-30T20:32:00.000Z,2019-04-04T00:00:00.000Z,168.50000000000,168.50000000000,1997-09-19T00:00:00.000Z,"24",Unknown,"0",E Lake Ave,,N,UNK,Unknown,Near side,KNT,UNK,1296890.10000000009,"1296890",138975.10000000001,138950.10000000001,"98030",,Walnut St,Unknown,UNK,,Unknown,Unknown,UNK,"0","100014358"
"20093","142","0",YES,None,"57090","115385",ACT,REG,KNT,Kent,SE,NO,,E,NO,YES,"6",YelRed-Stop,"10",NEXT,Jason Ave N,90.00000000000,FS,1960-01-01T04:30:00.000Z,2019-01-30T20:32:00.000Z,2019-04-04T00:00:00.000Z,84.00000000000,57.10000000000,2015-06-06T00:00:00.000Z,"24",Unknown,"0",Jason Ave N,,N,None,None,Far side,KNT,YES,1295606.00000000000,"1295606",144161.89999999999,144136.89999999999,"98031",158 164 168,E James St,A2 <=6 rts,KCM,Away,2in metal,Cncrt-earth,None,"0","4939"
"20094","142","0",YES,None,"57100","23985",ACT,REG,KNT,Kent,SE,NO,,E,NO,YES,"6",YelRed-Stop,"10",NEXT,Summit Ave N,91.90000000000,FS,1960-01-01T04:30:00.000Z,2019-01-30T20:32:00.000Z,2019-04-04T00:00:00.000Z,91.90000000000,91.90000000000,2015-06-06T00:00:00.000Z,"24",Unknown,"0",Summit Ave N,,N,None,None,Far side,KNT,YES,1297504.19999999995,"1297505",144163.60000000001,144138.60000000001,"98031",158 164 168,E James St,A2 <=6 rts,KCM,Away,2in metal,Base plate,None,"0","4940"
"20095","142","0",UNK,Unknown,"57101","365771",CLO,REG,UNK,Unknown,SE,UNK,,S,NO,UNK,"0",Unknown,"0",NEXT,SE 240th St,145.50000000000,FS,1980-09-15T04:30:00.000Z,2019-01-30T20:32:00.000Z,2019-04-04T00:00:00.000Z,656.30000000000,145.50000000000,1981-01-01T00:00:00.000Z,"24",Unknown,"0",SE 240th St,,N,UNK,Unknown,Far side,KNT,UNK,1305152.69999999995,"1305128",143939.79999999999,143940.39999999999,"98030",,116th Ave SE,Unknown,UNK,,Unknown,Unknown,UNK,"0","100014402"
"20096","142","0",UNK,Unknown,"57103","145101",CLO,REG,UNK,Unknown,SE,UNK,,S,NO,UNK,"0",Unknown,"0",NEXT,SE 244th St,28.70000000000,NS,1980-09-15T04:30:00.000Z,2019-01-30T20:32:00.000Z,2019-04-04T00:00:00.000Z,28.70000000000,28.70000000000,1981-01-01T00:00:00.000Z,"24",Unknown,"0",SE 244th St,,N,UNK,Unknown,Near side,KNT,UNK,1305126.60000000009,"1305102",142741.89999999999,142742.20000000001,"98030",,116th Ave SE,Unknown,UNK,,Unknown,Unknown,UNK,"0","100014401"
"20097","142","0",YES,None,"57140","86620",ACT,REG,KNT,Kent,SE,NO,,N,NO,YES,"6",YelRed-Stop,"90",NEXT,SE 235th St,89.90000000000,FS,1960-01-01T04:30:00.000Z,2019-01-30T20:32:00.000Z,2019-04-04T00:00:00.000Z,160.60000000000,89.90000000000,1960-01-01T00:00:00.000Z,"24",Unknown,"0",SE 235th St,,N,None,None,Far side,KNT,YES,1301350.89999999991,"1301376",145709.60000000001,145709.29999999999,"98031","169",104th Ave SE,A1 <=2 rts,KCM,Toward,2in metal,Base plate,Single,"0","4958"
