OBJECTID,CHANGE_NUM,MINOR_CHAN,ACCESSIBIL,ACCESSORY_,STOP_ID,TRANS_LINK,STOP_STATU,STOP_TYPE,AUTH_CODE,AUTH_NAME,TRF_DISTRI,AWNING,BAY_CODE,BEARING_CO,BIKE_RACK,CURB,CURB_HEIGH,CURBPAINT,CURBPAINTL,CURRENT_NE,CF_CROSS_S,CF_DIST_FR,CF_INTERSE,DATE_CREAT,DATE_LAST_,DB_MOD_DAT,DISPLACEME,DIST_FROM_,EFFECTIVE_,FARE_ZONE,FRDOORLAND,FRDOORSIDE,HASTUS_CRO,IMT_CONNEC,IN_SERVICE,INFOSIGN_A,INFOSIGN,INTERSECTI,JURISDICTI,KCM_MANAGE,XCOORD,XCOORD_OFF,YCOORD,YCOORD_OFF,ZIPCODE,ROUTE_LIST,ON_STREET_,ROUTESIGN,ROUTESIGN_,SIGN_MOUNT,SIGNPOST,SIGNPOST_A,SCHEDULE_H,NUM_SHELTE,GISOBJID
"21776","142","0",YES,None,"60980","198425",ACT,REG,TUK,Tukwila,SC,NO,,N,NO,YES,"6",YelRed-Stop,"0",NEXT,S 130th St,90.00000000000,NS,1960-01-01T04:30:00.000Z,2019-01-30T20:32:00.000Z,2019-04-04T00:00:00.000Z,69.00000000000,69.00000000000,2012-02-02T00:00:00.000Z,"24",ADA Access,"48",S 130th St,,N,None,None,Near side,TUK,YES,1280529.39999999991,"1280548",180988.39999999999,181005.00000000000,"98168","124",Tukwila Intl Blvd,Single,KCM,Toward,2in metal,Base plate,Single,"1","5792"
"21777","142","0",UNK,Unknown,"61042","198586",CLO,REG,UNK,Unknown,SC,UNK,,S,NO,UNK,"0",Unknown,"0",NEXT,S 150th St,62.80000000000,FS,1960-01-01T04:30:00.000Z,2019-01-30T20:32:00.000Z,2019-04-04T00:00:00.000Z,62.80000000000,62.80000000000,1991-01-31T00:00:00.000Z,"24",Unknown,"0",S 150th St,,N,UNK,Unknown,Far side,TUK,UNK,1280837.69999999995,"1280861",174333.50000000000,174324.79999999999,"98188",,Tukwila Intl Blvd,Unknown,UNK,,Unknown,Unknown,UNK,"0","100014101"
"21872","141","2",UNK,Unknown,"80675","55557",CLO,REG,UNK,Unknown,SC,UNK,,W,NO,UNK,"0",Unknown,"0",CURRENT,Andover Park E,146.00000000000,FS,1981-05-15T04:30:00.000Z,2019-01-30T20:33:00.000Z,2019-04-08T00:00:00.000Z,195.40000000000,146.00000000000,1992-01-18T00:00:00.000Z,"24",Unknown,"0",Andover Park E,,N,UNK,Unknown,Far side,TUK,UNK,1289852.30000000005,"1289850",171602.20000000001,171627.10000000001,"98188",,Tukwila Pkwy,Unknown,UNK,,Unknown,Unknown,UNK,"0","100013186"
"21873","141","2",YES,None,"80680","3747",ACT,REG,TUK,Tukwila,SC,NO,,N,NO,UNK,"0",Unknown,"90",CURRENT,Fort Dent Way,180.00000000000,FS,1960-01-01T04:30:00.000Z,2019-01-30T20:33:00.000Z,2019-04-08T00:00:00.000Z,1773.10000000000,180.00000000000,1960-01-01T00:00:00.000Z,"24",Unknown,"0",Fort Dent Way,,N,None,None,Far side,TUK,YES,1290153.39999999991,"1290166",173190.39999999999,173212.00000000000,"98188",150 154,Interurban Ave S,A1 <=2 rts,KCM,Away,2in metal,Base plate,Double,"1","8404"
"21874","141","2",UNK,None,"80690","35326",CLO,REG,TUK,Tukwila,SC,NO,,N,NO,UNK,"0",Unknown,"0",CURRENT,Maule Ave S,20.00000000000,FS,1960-01-01T04:30:00.000Z,2019-01-30T20:33:00.000Z,2019-04-08T00:00:00.000Z,583.90000000000,20.00000000000,2014-09-27T00:00:00.000Z,"24",Unknown,"0",Maule Ave S,,N,None,None,Far side,TUK,UNK,1289184.00000000000,"1289207",174623.60000000001,174632.70000000001,"98168",,Interurban Ave S,Unknown,KCM,Toward,2in metal,Cncrt-earth,None,"0","0"
"21875","141","2",YES,None,"80692","109291",ACT,REG,TUK,Tukwila,SC,NO,,N,NO,YES,"6",YelRed-Stop,"10",CURRENT,S 147th St,100.40000000000,FS,1989-04-01T04:30:00.000Z,2019-01-30T20:33:00.000Z,2019-04-08T00:00:00.000Z,815.40000000000,100.40000000000,2016-03-11T00:00:00.000Z,"24",ADA Access,"0",S 147th St,,N,None,None,Far side,TUK,YES,1288933.80000000005,"1288957",175260.50000000000,175269.60000000001,"98168",150 154,Interurban Ave S,A1 <=2 rts,KCM,Toward,2in metal,Base plate,Single,"1","8406"
"21876","141","2",YES,None,"80700","92039",ACT,REG,TUK,Tukwila,SC,NO,,N,NO,UNK,"0",Unknown,"150",CURRENT,58th Ave S,89.90000000000,NS,1960-01-01T04:30:00.000Z,2019-01-30T20:33:00.000Z,2019-04-08T00:00:00.000Z,89.90000000000,89.90000000000,1960-01-01T00:00:00.000Z,"24",Unknown,"0",58th Ave S,,N,None,None,Near side,TUK,YES,1287905.89999999991,"1287922",176969.29999999999,176988.10000000001,"98168",150 154,Interurban Ave S,A1 <=2 rts,KCM,Toward,2in metal,Base plate,Double,"1","8407"
"21877","141","2",UNK,Unknown,"80701","250884",CLO,REG,UNK,Unknown,SC,UNK,,N,NO,UNK,"0",Unknown,"0",CURRENT,S 141st Pl,137.40000000000,FS,1998-09-19T04:30:00.000Z,2019-01-30T20:33:00.000Z,2019-04-08T00:00:00.000Z,683.20000000000,137.40000000000,2004-09-24T00:00:00.000Z,"24",Unknown,"0",S 141st Pl,,N,UNK,Unknown,Far side,TUK,UNK,1287735.80000000005,"1287719",177120.10000000001,177101.60000000001,"98168",,Interurban Ave S,Unknown,UNK,,Unknown,Unknown,UNK,"0","100013185"
"21878","141","2",YES,None,"80710","168862",ACT,RL,TUK,Tukwila,SC,NO,"1",N,NO,UNK,"0",Unknown,"140",CURRENT,52nd Ave S,50.00000000000,FS,1960-01-01T04:30:00.000Z,2019-01-30T20:33:00.000Z,2019-04-08T00:00:00.000Z,110.40000000000,51.00000000000,2005-03-10T00:00:00.000Z,"24",Unknown,"0",52nd Ave S,,N,None,Default,Far side,TUK,YES,1285709.00000000000,"1285726",179171.70000000001,179190.50000000000,"98168",150 154 193E,Interurban Ave S,B1 <=12 rts,KCM,Flush,None,Concrete,None,"2","8408"
"21879","141","2",UNK,None,"80715","168558",CLO,LAY,MET,Metro King County,SC,NO,,W,NO,UNK,"0",Unknown,"10",CURRENT,Tukwila P&R AcRd,24.80000000000,FS,1988-02-01T04:30:00.000Z,2019-01-30T20:33:00.000Z,2019-04-08T00:00:00.000Z,160.00000000000,24.80000000000,2009-06-13T00:00:00.000Z,"24",Unknown,"0",Tukwila P&R AcRd,,N,None,None,Far side,TUK,UNK,1285198.19999999995,"1285181",179414.89999999999,179432.79999999999,"98168",,Tukwila P&R AcRd,Unknown,KCM,Away,2in metal,Cncrt-earth,None,"0","0"
