WKT,OBJECTID,CHANGE_NUM,MINOR_CHAN,ACCESSIBIL,ACCESSORY_,STOP_ID,TRANS_LINK,STOP_STATU,STOP_TYPE,AUTH_CODE,AUTH_NAME,TRF_DISTRI,AWNING,BAY_CODE,BEARING_CO,BIKE_RACK,CURB,CURB_HEIGH,CURBPAINT,CURBPAINTL,CURRENT_NE,CF_CROSS_S,CF_DIST_FR,CF_INTERSE,DATE_CREAT,DATE_LAST_,DB_MOD_DAT,DISPLACEME,DIST_FROM_,EFFECTIVE_,FARE_ZONE,FRDOORLAND,FRDOORSIDE,HASTUS_CRO,IMT_CONNEC,IN_SERVICE,INFOSIGN_A,INFOSIGN,INTERSECTI,JURISDICTI,KCM_MANAGE,XCOORD,XCOORD_OFF,YCOORD,YCOORD_OFF,ZIPCODE,ROUTE_LIST,ON_STREET_,ROUTESIGN,ROUTESIGN_,SIGN_MOUNT,SIGNPOST,SIGNPOST_A,SCHEDULE_H,NUM_SHELTE,GISOBJID
"POINT (-122.191787247152 47.2882600014561)",3282,141,2,YES,None,58790,77681,ACT,REG,AUB,Auburn,SE,NO,,E,NO,UNK,0,Unknown,10,CURRENT,Dogwood St SE,170,FS,1960-01-01T04:30:00.000Z,2019-01-30T20:32:00.000Z,2019-04-08T00:00:00.000Z,170,170,2018-11-07T00:00:00.000Z,24,Unknown,0,Dogwood St SE,,N,None,None,Far side,AUB,YES,1303277.8,1303275,108150.3,108125.4,98092,186 915,Auburn Way S,A1 <=2 rts,KCM,Toward,2in metal,Cncrt-earth,None,0,5335
"POINT (-122.189379184766 47.2881710002044)",3283,141,2,UNK,None,58800,10884,CLO,REG,AUB,Auburn,SE,NO,,E,NO,UNK,0,Unknown,10,CURRENT,Fir St SE,35,FS,1960-01-01T04:30:00.000Z,2019-01-30T20:32:00.000Z,2019-04-08T00:00:00.000Z,35,35,2015-12-05T00:00:00.000Z,24,Unknown,0,Fir St SE,,N,None,None,Far side,AUB,UNK,1303872.1,1303872,108107.4,108082.4,98092,,Auburn Way S,Unknown,KCM,Away,2in metal,Base plate,None,0,0
"POINT (-122.186316783129 47.2881786152305)",3284,141,2,YES,None,58810,113903,ACT,REG,AUB,Auburn,SE,NO,,E,NO,YES,6,None,0,CURRENT,Hemlock St SE,125,FS,1960-01-01T04:30:00.000Z,2019-01-30T20:32:00.000Z,2019-04-08T00:00:00.000Z,125,125,2015-12-19T00:00:00.000Z,24,ADA Access,0,Hemlock St SE,,N,None,None,Far side,AUB,YES,1304632.6,1304632,108096.8,108071.8,98092,186 915,Auburn Way S,A1 <=2 rts,KCM,Toward,2in metal,Base plate,None,0,5337
"POINT (-122.180876771914 47.2881835195639)",3285,141,2,YES,None,58811,62880,ACT,REG,AUB,Auburn,SE,NO,,E,NO,UNK,0,Unknown,10,CURRENT,Noble Ct SE,245,NM,1989-12-07T04:30:00.000Z,2019-01-30T20:32:00.000Z,2019-04-08T00:00:00.000Z,198.4,198.4,1989-12-07T00:00:00.000Z,24,Unknown,0,Noble Ct SE,,N,None,None,Near middle,AUB,YES,1305981.9,1305982,108074.9,108049.9,98092,186 915,Auburn Way S,A1 <=2 rts,KCM,Away,2in metal,Cncrt-earth,None,0,5338
"POINT (-122.229002689905 47.3532858871037)",3956,141,2,YES,None,58220,81789,ACT,REG,KNT,Kent,SE,NO,,S,NO,UNK,0,Unknown,10,CURRENT,S 277th St,180,FS,1981-03-15T04:30:00.000Z,2019-01-30T20:32:00.000Z,2019-04-08T00:00:00.000Z,77.90000000000001,6.4,1981-03-15T00:00:00.000Z,24,Unknown,0,S 277th St,,N,None,None,Far side,AUB,YES,1294493.3,1294470,132014.9,132006.1,98002,180,Auburn Way N,A1 <=2 rts,KCM,Toward,2in metal,Base plate,Single,0,5264
"POINT (-122.226746007877 47.3508168814465)",3957,141,2,YES,None,58230,22382,ACT,REG,AUB,Auburn,SE,NO,,S,NO,UNK,0,Unknown,10,CURRENT,85th Ave S,50,NS,1981-03-15T04:30:00.000Z,2019-01-30T20:32:00.000Z,2019-04-08T00:00:00.000Z,149.8,50,1981-03-15T00:00:00.000Z,24,Unknown,0,85th Ave S,,N,None,None,Near side,AUB,YES,1295033.6,1295013,131110.2,131095.5,98002,180,Auburn Way N,A1 <=2 rts,KCM,Away,2in metal,Base plate,None,0,5265
"POINT (-122.222403650599 47.3439392031485)",3958,141,2,YES,None,58235,8463,ACT,REG,AUB,Auburn,SE,NO,,S,NO,YES,6,YelRed-Stop,10,CURRENT,42nd St NE,240,FS,2009-06-23T14:47:00.000Z,2019-01-30T20:32:00.000Z,2019-04-08T00:00:00.000Z,140,140,2018-08-06T00:00:00.000Z,24,ADA Access,96,42nd St NE,,N,None,None,Far side,AUB,YES,1296069.2,1296044,128567.4,128567.7,98002,180,Auburn Way N,A1 <=2 rts,KCM,Toward,2in metal,Base plate,None,1,5266
"POINT (-122.223383534753 47.3477189825883)",3959,141,2,YES,None,58240,109376,ACT,REG,AUB,Auburn,SE,NO,,S,NO,UNK,0,YelRed-Stop,10,CURRENT,45th St NE,170,NS,1981-03-15T04:30:00.000Z,2019-01-30T20:32:00.000Z,2019-04-08T00:00:00.000Z,170,170,2016-04-09T00:00:00.000Z,24,Unknown,0,45th St NE,,N,None,None,Near side,AUB,YES,1295847,1295826,129964.4,129950.6,98002,180,Auburn Way N,A1 <=2 rts,KCM,Toward,2in metal,Base plate,None,0,5267
"POINT (-122.22240917266 47.3426282220296)",3960,141,2,UNK,None,58250,169873,CLO,REG,AUB,Auburn,SE,NO,,S,NO,UNK,0,Unknown,10,CURRENT,40th St NE,30,FS,1981-03-15T04:30:00.000Z,2019-01-30T20:32:00.000Z,2019-04-08T00:00:00.000Z,885.6,30,2009-06-27T00:00:00.000Z,24,Unknown,0,40th St NE,,N,None,None,Far side,AUB,UNK,1296059,1296034,128089,128089.6,98002,,Auburn Way N,Unknown,KCM,Toward,2in metal,Concrete,None,0,0
"POINT (-122.222410003636 47.3399254986948)",3961,141,2,YES,None,58255,105574,ACT,REG,AUB,Auburn,SE,NO,,S,NO,UNK,0,Unknown,10,CURRENT,37th St NE,100.1,FS,1981-03-15T04:30:00.000Z,2019-01-30T20:32:00.000Z,2019-04-08T00:00:00.000Z,425.3,100.1,1981-03-15T00:00:00.000Z,24,Unknown,0,37th St NE,,N,None,None,Far side,AUB,YES,1296040.6,1296016,127103.6,127103.9,98002,180,Auburn Way N,A1 <=2 rts,KCM,Toward,2in metal,Base plate,None,1,5268
