route,count
102,165
906,141
908,96
F,78
153,114
148,177
107,48
240,129
111,201
105,117
640,52
143,42
143E,54
907,45
106,33
114,108
150,9
169,129
167,81
342,51
560,36
566,36
143N,6
342N,3
101,57
907N,3
107N,3
640N,23
952E,6
