OBJECTID,CHANGE_NUM,MINOR_CHAN,ACCESSIBIL,ACCESSORY_,STOP_ID,TRANS_LINK,STOP_STATU,STOP_TYPE,AUTH_CODE,AUTH_NAME,TRF_DISTRI,AWNING,BAY_CODE,BEARING_CO,BIKE_RACK,CURB,CURB_HEIGH,CURBPAINT,CURBPAINTL,CURRENT_NE,CF_CROSS_S,CF_DIST_FR,CF_INTERSE,DATE_CREAT,DATE_LAST_,DB_MOD_DAT,DISPLACEME,DIST_FROM_,EFFECTIVE_,FARE_ZONE,FRDOORLAND,FRDOORSIDE,HASTUS_CRO,IMT_CONNEC,IN_SERVICE,INFOSIGN_A,INFOSIGN,INTERSECTI,JURISDICTI,KCM_MANAGE,XCOORD,XCOORD_OFF,YCOORD,YCOORD_OFF,ZIPCODE,ROUTE_LIST,ON_STREET_,ROUTESIGN,ROUTESIGN_,SIGN_MOUNT,SIGNPOST,SIGNPOST_A,SCHEDULE_H,NUM_SHELTE,GISOBJID
"31380","141","1",YES,None,"22255","109466",ACT,REG,SEA,Seattle,SW,NO,"6",W,NO,UNK,"0",Unknown,"70",IN SERVICE,16th Ave SW,100.00000000000,FS,1979-09-15T04:30:00.000Z,2019-01-30T20:32:00.000Z,2019-03-25T00:00:00.000Z,100.00000000000,100.00000000000,2010-06-26T00:00:00.000Z,"3",Unknown,"0",16th Ave SW,,Y,None,None,Far side,SEA,YES,1264285.50000000000,"1264285",192443.39999999999,192468.39999999999,"98106",113 120,SW Roxbury St,A1 <=2 rts,KCM,Away,2in metal,Cncrt-earth,Single,"1","1886"
"31381","141","1",YES,None,"22256","98736",ACT,REG,SEA,Seattle,SW,NO,,W,NO,YES,"6",YelRed-Stop,"10",IN SERVICE,20th Ave SW,82.00000000000,FS,1979-09-15T04:30:00.000Z,2019-01-30T20:32:00.000Z,2019-03-25T00:00:00.000Z,82.00000000000,82.00000000000,1979-09-15T00:00:00.000Z,"3",ADA Access,"0",20th Ave SW,,Y,None,None,Far side,SEA,YES,1263306.39999999991,"1263307",192458.10000000001,192483.10000000001,"98106",113 120 560,SW Roxbury St,A2 <=6 rts,KCM,Away,2in metal,Cncrt-earth,None,"0","1887"
"31382","141","1",UNK,None,"22257","43792",CLO,REG,SEA,Seattle,SW,NO,,W,NO,UNK,"0",Unknown,"10",IN SERVICE,22nd Ave SW,34.90000000000,NS,1979-09-15T04:30:00.000Z,2019-01-30T20:32:00.000Z,2019-03-25T00:00:00.000Z,144.00000000000,34.90000000000,2015-09-26T00:00:00.000Z,"3",Unknown,"0",22nd Ave SW,,Y,None,None,Near side,SEA,UNK,1262769.00000000000,"1262770",192469.00000000000,192494.00000000000,"98106",,SW Roxbury St,Unknown,KCM,Away,2in metal,Band,None,"0","0"
"31383","141","1",UNK,None,"22258","133125",CLO,REG,SEA,Seattle,SW,NO,,W,NO,UNK,"0",Unknown,"10",IN SERVICE,24th Ave SW,90.00000000000,FS,1983-01-01T04:30:00.000Z,2019-01-30T20:32:00.000Z,2019-03-25T00:00:00.000Z,90.00000000000,90.00000000000,2007-05-21T00:00:00.000Z,"3",Unknown,"0",24th Ave SW,,Y,None,None,Far side,SEA,UNK,1262304.30000000005,"1262305",192478.50000000000,192503.50000000000,"98106",,SW Roxbury St,Unknown,KCM,Away,2in metal,Cncrt-earth,None,"0","0"
"31384","141","1",YES,None,"22259","120655",ACT,REG,SEA,Seattle,SW,NO,,W,NO,UNK,"0",Unknown,"10",IN SERVICE,26th Ave SW,50.00000000000,NS,1982-02-15T04:30:00.000Z,2019-01-30T20:32:00.000Z,2019-03-25T00:00:00.000Z,282.50000000000,50.00000000000,1982-02-15T00:00:00.000Z,"5",Unknown,"0",26th Ave SW,,Y,None,None,Near side,KC,YES,1261780.00000000000,"1261781",192488.60000000001,192513.60000000001,"98106","120",SW Roxbury St,A1 <=2 rts,KCM,Away,2in metal,Unknown,Single,"0","1889"
"31385","141","1",YES,None,"22260","120880",ACT,REG,SEA,Seattle,SW,NO,,W,NO,UNK,"0",Unknown,"10",IN SERVICE,28th Ave SW,150.00000000000,NS,1982-02-15T04:30:00.000Z,2019-01-30T20:32:00.000Z,2019-03-25T00:00:00.000Z,191.40000000000,150.00000000000,2008-04-21T00:00:00.000Z,"3",Unknown,"0",28th Ave SW,,Y,None,None,Near side,SEA,YES,1261201.50000000000,"1261202",192509.10000000001,192534.10000000001,"98126",C 21 22,SW Roxbury St,A2 <=6 rts,KCM,Away,2in metal,Concrete,Double,"1","1890"
"31386","141","1",YES,None,"22261","126064",ACT,REG,SEA,Seattle,SW,NO,,W,NO,UNK,"0",Unknown,"10",IN SERVICE,30th Ave SW,55.50000000000,NS,1982-02-15T04:30:00.000Z,2019-01-30T20:32:00.000Z,2019-03-25T00:00:00.000Z,621.30000000000,55.50000000000,1982-02-15T00:00:00.000Z,"3",Unknown,"0",30th Ave SW,,Y,None,None,Near side,SEA,YES,1260430.69999999995,"1260432",192537.39999999999,192562.39999999999,"98126",21 22,SW Roxbury St,A1 <=2 rts,KCM,Away,2in metal,Concrete,None,"0","1891"
"31387","141","1",YES,None,"22262","126064",ACT,LAY,SEA,Seattle,SW,NO,,W,NO,UNK,"0",Unknown,"10",IN SERVICE,28th Ave SW,116.30000000000,FS,1982-02-15T04:30:00.000Z,2019-01-30T20:32:00.000Z,2019-03-25T00:00:00.000Z,116.30000000000,116.30000000000,2015-10-15T00:00:00.000Z,"3",Unknown,"0",28th Ave SW,,Y,None,None,Far side,SEA,YES,1260935.39999999991,"1260936",192518.89999999999,192543.89999999999,"98126",,SW Roxbury St,A2 <=6 rts,KCM,Away,2in metal,Concrete,Double,"0","1892"
"31418","141","1",UNK,None,"22263","66824",CLO,REG,SEA,Seattle,SW,NO,,W,NO,UNK,"0",Unknown,"10",IN SERVICE,35th Ave SW,120.00000000000,NS,1982-02-15T04:30:00.000Z,2019-01-30T20:32:00.000Z,2019-03-25T00:00:00.000Z,218.90000000000,120.00000000000,2015-09-26T00:00:00.000Z,"1",Unknown,"0",35th Ave SW,,Y,None,None,Near side,SEA,UNK,1259140.19999999995,"1259141",192584.89999999999,192609.89999999999,"98126",,SW Roxbury St,Unknown,KCM,Toward,Light,Band,Single,"1","0"
"31419","141","1",YES,None,"22264","91763",ACT,RL,SEA,Seattle,SW,NO,,S,NO,YES,"6",YelRed-Stop,"10",IN SERVICE,SW 97th St,114.70000000000,NS,1982-02-15T04:30:00.000Z,2019-01-30T20:32:00.000Z,2019-03-25T00:00:00.000Z,230.00000000000,114.70000000000,2017-09-22T00:00:00.000Z,"1",Unknown,"0",SW 97th St,,Y,None,None,Near side,SEA,YES,1259036.69999999995,"1259012",192359.89999999999,192358.29999999999,"98126",21E 22,35th Ave SW,A1 <=2 rts,KCM,Away,2in metal,Base plate,Single,"0","1894"
